link,current_price,old_price,avg_rating,cnt_reviews,title,author,ID товара,Издательство,Издательский бренд,Серия,Год издания,ISBN,Количество страниц,Размер,Тип обложки,Тираж,"Вес, г",Возрастные ограничения,Переводчик,Художник,Тип комикса,Разделы комикса
https://www.chitai-gorod.ru/product/malenkie-zhenshchiny-novyy-perevod-2965578,284 ₽,365 ₽,4.5,333 оценки,Маленькие женщины (новый перевод),Луиза Мэй Олкотт,2965578,АСТ,Neoclassic,Эксклюзивная классика,2025,978-5-17-154501-7,384,2.9x11.5x18,Мягкий переплёт,25000,230,12+,,,,
https://www.chitai-gorod.ru/product/idiot-2891539,293 ₽,376 ₽,4.1,428 оценок,Идиот,Федор Достоевский,2891539,АСТ,Neoclassic,Эксклюзив: Русская классика,2025,978-5-17-146484-4,640,2.7x11.5x18,Мягкий переплёт,15000,310,12+,,,,
https://www.chitai-gorod.ru/product/skorb-satany-3000038,671 ₽,860 ₽,4.5,139 оценок,Скорбь Сатаны,Мария Корелли,3000038,Эксмо,,Магистраль. Главный тренд,2025,978-5-04-188715-5,512,2.6x12.5x20,Мягкий переплёт,20000,410,16+,,,,
https://www.chitai-gorod.ru/product/grozovoy-pereval-2809160,299 ₽,359 ₽,4.1,1414 оценок,Грозовой перевал,Эмили Джейн Бронте,2809160,АСТ,Neoclassic,Эксклюзивная классика,2025,978-5-17-127202-9,416,2.8x11.5x18,Мягкий переплёт,25000,250,12+,,,,
https://www.chitai-gorod.ru/product/martin-iden-2447550,293 ₽,376 ₽,4.2,1429 оценок,Мартин Иден,Джек Лондон,2447550,АСТ,Neoclassic,Эксклюзивная классика,2024,978-5-17-087985-4,448,2.4x11x17.9,Мягкий переплёт,25000,230,16+,,,,
https://www.chitai-gorod.ru/product/noch-v-lissabone-2609975,349 ₽,447 ₽,4.2,899 оценок,Ночь в Лиссабоне,Эрих Ремарк,2609975,АСТ,Neoclassic,Эксклюзивная классика,2024,978-5-17-100857-4,320,1.5x11.5x18,Мягкий переплёт,25000,200,16+,Федорова Нина Николаевна,,,
https://www.chitai-gorod.ru/product/belye-nochi-2628067,299 ₽,359 ₽,4.2,1023 оценки,Белые ночи,Федор Достоевский,2628067,АСТ,Neoclassic,Эксклюзив: Русская классика,2025,978-5-17-106575-1,320,1.7x11.6x18,Мягкий переплёт,25000,200,12+,,,,
https://www.chitai-gorod.ru/product/mertvye-dushi-poema-2459100,299 ₽,359 ₽,4.0,645 оценок,Мертвые души: поэма,Николай Гоголь,2459100,АСТ,Neoclassic,Эксклюзив: Русская классика,2025,978-5-17-087889-5,352,2x11.5x18,Мягкий переплёт,15000,250,12+,,,,
https://www.chitai-gorod.ru/product/gordost-i-predubezhdenie-3072633,284 ₽,365 ₽,4.7,63 оценки,Гордость и предубеждение,Джейн Остен,3072633,АСТ,Neoclassic,Эксклюзивная классика,2024,978-5-17-166523-4,448,3.4x11.5x18,Мягкий переплёт,25000,270,16+,,,,
https://www.chitai-gorod.ru/product/my-2898879,299 ₽,359 ₽,4.0,955 оценок,Мы,Евгений Замятин,2898879,АСТ,Neoclassic,Эксклюзив: Русская классика,2024,978-5-17-147716-5,224,1.8x11.7x18.1,Мягкий переплёт,20000,150,12+,,,,
https://www.chitai-gorod.ru/product/zhizn-na-prodazhu-2886029,284 ₽,365 ₽,4.0,688 оценок,Жизнь на продажу,Юкио Мисима,2886029,Азбука,,Азбука-классика (pocket-book),2025,978-5-389-20578-9,288,1.6x11.5x18,Мягкий переплёт,15000,150,16+,,,,
https://www.chitai-gorod.ru/product/zhizn-vzaymy-ili-u-neba-lyubimchikov-net-2682724,349 ₽,447 ₽,4.1,850 оценок,"Жизнь взаймы, или У неба любимчиков нет",Эрих Ремарк,2682724,АСТ,Neoclassic,Эксклюзивная классика,2025,978-5-17-112096-2,384,1.8x11.5x18,Мягкий переплёт,25000,239,16+,,,,
https://www.chitai-gorod.ru/product/povelitel-muh-2398281,349 ₽,447 ₽,4.0,1506 оценок,Повелитель мух,Уильям Голдинг,2398281,АСТ,Neoclassic,Эксклюзивная классика,2024,978-5-17-080086-5,320,1.9x11.6x18,Мягкий переплёт,20000,230,12+,,,,
https://www.chitai-gorod.ru/product/o-divnyy-novyy-mir-2969921,358 ₽,459 ₽,4.2,249 оценок,О дивный новый мир,Олдос Леонард Хаксли,2969921,АСТ,Neoclassic,Эксклюзивная классика,2025,978-5-17-155451-4,352,1.8x11.5x18,Мягкий переплёт,20000,240,16+,,,,
